address,city,availability_status,latitude,longitude,station_name,pincode,pricing,state,charger_type_code,charger_type_details
EESL EDC Parking Goa,Goa,1,15.5104722,73.8372222,EESL Legislative Assembly Goa,403503,free,Goa,0,AC Charger (Slow)
"SDMC Parking, R Block, GK-1, DELHI-110016",Delhi,1,28.547217,77.244324,EESL R block GK1,110016,free,Delhi,0,AC Charger (Slow)
"SDMC Parking, SDA Market, Hauz Khas, New Delhi, Delhi 110016",Delhi,1,28.546273,77.19711,EESL SDA market,110016,free,Delhi,0,AC Charger (Slow)
"Near Tata Advance Systems, sector- 59, Noida",Noida,1,28.608947,77.362725,EESL Tata Advance Systems Noida,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"EESL Feroze Gandhi Road, Lajpat Nagar, SDMC parking New 10",Delhi,1,28.5587496,77.0909566,EESL Feroze Gandhi Road Lajpat Nagar,110024,free,Delhi,0,AC Charger (Slow)
"EESL PVR Priya Vasant Vihar, SDMC parking New Delhi, Near Gold's Gym",Delhi,1,28.5580077,77.1588093,EESL PVR Priya Delhi,110057,free,Delhi,0,AC Charger (Slow)
"EESL Meharchand Double Storey Market, SDMC parking New Delhi",Delhi,1,28.6026531,77.1666318,EESL Meharchand Double Storey Market,110003,free,Delhi,0,AC Charger (Slow)
"Sanghumukham DTPC office, Shanghumukham beach, thiruvananthapuram,Kerala- 605007",Thiruvananthapuram,1,8.481159,76.912456,ANERT-EESL Sangamukham Kerala,605007,free,Kerala,0,AC Charger (Slow)
"State Council For Child Welfare, CV Raman Pillai Rd, Near Kerala, Housing Board, Thycaud, Thiruvananthapuram, Kerala 695014",Thiruvananthapuram,1,8.4927752,76.9572956,ANERT-EESL Thycaud Kerala,695014,free,Kerala,0,AC Charger (Slow)
"EESL Veer Savarkar Marg, Lajpat Nagar, SDMC parking New Delhi",Delhi,1,28.5584839,77.0909568,"EESL Veer Savarkar Marg, Lajpat Nagar",110024,free,Delhi,0,AC Charger (Slow)
"HAREDA, Akshay Urja Bhawan , Institutional plot No.1 Sector-17 Panchkula , 134109 Haryana",Panchkula,1,30.695929,76.834874,HAREDA EESL Panchkula,134109,free,Haryana,0,AC Charger (Slow)
"ECO Park,Gate No1,West Bengal:700156",Kolkata,1,22.594,88.4729, EESL ECO Park Gate No 1 New Town,700156,free,West Bengal,0,AC Charger (Slow)
" EESL Biswa Bangla Gate Rotary, Kolkata West Bengal",Kolkata,1,22.5791553,88.4687647, EESL Biswa Bangla Gate Rotary,700156,free,West Bengal,0,AC Charger (Slow)
Near  Shapoorji Bus Terminus Newtown Kolkata,Chennai,1,13.088249,80.285359,EESL Shapoorji Bus Terminus Newtown,0,free,Tamil Nadu,0,AC Charger (Slow)
High Court Metro Station Chennai (CMRL),Chennai,1,13.088249,80.285359,"EESL Adhoc New Central, HPCL, New Town",0,free,Tamil Nadu,0,AC Charger (Slow)
" Chennai Egmore metro, Chennai (CMRL)",Chennai,1,13.079097,80.261538,EESL Shapoorji Bus Terminus Newtown,0,free,Tamil Nadu,0,AC Charger (Slow)
" Chennai Egmore metro, Chennai (CMRL)",Chennai,1,13.079097,80.261538,EESL Chennai Egmore metro,0,free,Tamil Nadu,0,AC Charger (Slow)
Saidapet Metro station,Chennai,1,13.0237,80.2282,EESL Saidapet Metro station,0,free,Tamil Nadu,0,AC Charger (Slow)
Tirumangalam Metro station,Chennai,1,13.0853,80.2016,EESL Tirumangalam Metro station,0,free,Tamil Nadu,0,AC Charger (Slow)
Tirumangalam Metro station,Chennai,1,13.0853,80.2016,EESL Thirumangalam Metro,0,free,Tamil Nadu,0,AC Charger (Slow)
"EESL N-Block GK-1, SDMC parking New Delhi",Delhi,1,28.556608,77.232732,EESL Alandur metro,110048,free,Delhi,0,AC Charger (Slow)
"KTDC Tourist Reception Centre Shanmugham road, Ernakulam, Marine drive, Kochi Kerala-682031",Ernakulam,1,9.977164,76.27777,EESL Chennai Egmore metro,682031,free,Kerala,0,AC Charger (Slow)
Near  Shapoorji Bus Terminus Newtown Kolkata,Kolkata,1,22.5695,88.5169,EESL Shapoorji Bus Terminus Newtown,700156,free,West Bengal,0,AC Charger (Slow)
"Side parking of HCL building, sector-8, Noida",Noida,1,28.582421,77.3635947,"EESL Adhoc New Central, HPCL, New Town",201301,free,Uttar Pradesh,0,AC Charger (Slow)
"In front of affinity salon, sector- 51, Noida",Noida,1,28.577319,77.3587651,EESL Shapoorji Bus Terminus Newtown,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"KTDC Tourist Reception Centre Shanmugham road, Ernakulam, Marine drive, Kochi Kerala-682031",Muriyil,1,9.63628,76.3352,EESL Koyambedu,682031,free,Kerala,0,AC Charger (Slow)
"Opp C-101 Jain air travels, sector-2, Noida",Noida,1,28.5842756,77.3137535,EESL Anna Nagar East Station,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"Near Adhoc New Central, HPCL, New Town, Kolkata",Kolkata,1,22.617907,88.466368,"EESL Adhoc New Central, HPCL, New Town",700156,free,West Bengal,0,AC Charger (Slow)
"NRANVP, PARYAVAS BHAWAN, NORTH BLOCK, SECTOR 19, NAYA RAYPUR MARG, ATAL NAGAR RAIPUR",Raipur,1,21.163948,81.788547,EESL Prayas Bhawan Nava Raipur,492101,free,Chhattisgarh,0,AC Charger (Slow)
"CBD
Mantraly NAVA RAIPUR , ATAL NAGAR RAIPUR DIST. 492101 Chhatisgarh",Raipur,1,21.161505,81.796858,EESL Mantraly Naya Raipur,492101,free,Chhattisgarh,0,AC Charger (Slow)
Between kirti mann plaza and NMC hospital Sector 30 Noida,Noida,1,28.5726478,77.3408251,EESL Prayas Bhawan Nava Raipur,201301,free,Uttar Pradesh,0,AC Charger (Slow)
Between kirti mann plaza and NMC hospital Sector 30 Noida,Noida,1,28.5726478,77.3408251,EESL Mantraly Naya Raipur,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"Ganga Shopping Complex, Sector 29, Noida, Uttar Pradesh 201301",Noida,1,28.5670208,77.3353024,EESL Shenoy Nagar Metro,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"Ganga Shopping Complex, Sector 29, Noida, Uttar Pradesh 201301",Noida,1,28.5670208,77.3353024,EESL Pachaiyappa,201301,free,Uttar Pradesh,0,AC Charger (Slow)
Opp Sasta Sundar Hospital Sector 58 Noida,Noida,1,28.6057471,77.3573349,EESL Pachaiyappa,201301,free,Uttar Pradesh,0,AC Charger (Slow)
Between kirti mann plaza and NMC hospital Sector 30 Noida,Noida,1,28.5726478,77.3408251,EESL Kirti Mann Plaza Noida,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"Sector 142, Noida, Uttar Pradesh, 201305",Noida,1,28.5000204,77.4108813,EESL Adwant Chowk Noida,201305,free,Uttar Pradesh,0,AC Charger (Slow)
"Sector 15, Nithari, Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, 201301, India",Noida,1,28.5826069,77.3128436,EESL Alka Cinema Noida,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"Near RTO OfficeSector 33A, Noida, Ghaziabad, Uttar Pradesh, 201301, India",Noida,1,28.5880051,77.3520796,EESL RTO Office Noida,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"Chennai Metro Alandur station Car parking area, Alandur, Chennai 600016",Chennai,1,13.003498,80.201548,EESL Alandur metro,0,free,Tamil Nadu,0,AC Charger (Slow)
"Ganga Shopping Complex, Sector 29, Noida, Uttar Pradesh 201301",Noida,1,28.5670208,77.3353024,EESL Ganga Shopping Complex Noida,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"road between sector 124 & 125 and beside SPCl Sector Road, Noida, Uttar Pradesh, 201313",Noida,1,28.5447044,77.3272594,EESL SPCI Noida,201313,free,Uttar Pradesh,0,AC Charger (Slow)
"SDMC Parking, B6, Safderjung Enclave",Delhi,1,28.558938,77.19631,EESL Safderjung Enclave,110003,free,Delhi,0,AC Charger (Slow)
"Near Tank No 3, Opp Goutams, Street Number 24,Sub Central Business District Action Area 1, Action Area I, Newtown West Bengal 700156",Kolkata,1,22.5785885,88.4508228,EESL New Town,700156,free,West Bengal,0,AC Charger (Slow)
"NKDA New Town Business Club Parking Lot, AE Block(Newtown), Newtown, West Bengal 700059",Kolkata,1,22.5852479,88.4547116,EESL Business Club New Town ,700059,free,West Bengal,0,AC Charger (Slow)
"Parking Lot, 7 Wonders, Gate No 4, Eco Park Entry Plaza, AA IIB, Newtown, Kolkata, West Bengal 700135",Kolkata,1,22.611245,88.466586,EESL Gate no 4 Eco Park New Town,700135,free,West Bengal,0,AC Charger (Slow)
"Parking Lot Golf Club, Gate no. 6, Ecopark, Deshbandhu Nagar, Rekjuani, West Bengal 700156",Kolkata,1,22.607778,88.463918,EESL Gate No 6 Eco Park New Town ,700156,free,West Bengal,0,AC Charger (Slow)
"NKDA Parking Lot, Beside Tata Memorial Cancer Hospital , 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160",Kolkata,1,22.577346,88.478575,EESL Tata Memorial Cancer Hospital ,700160,free,West Bengal,0,AC Charger (Slow)
"NKDA Parking Lot, Beside Axis Mall, CF Block Newtown, Action Area 1C, Newtown, Kolkata, West Bengal 700156",Kolkata,1,22.579022,88.460325,EESL Axis Mall ,700156,free,West Bengal,0,AC Charger (Slow)
"SDMC Parking, Aurbindo Market Place,Hauz Khas, New Delhi, Delhi 110016",Delhi,1,28.552074,77.203279,EESL Aurbindo Market place,110016,free,Delhi,0,AC Charger (Slow)
"Noida Authority Parking at Central Market, Sector-50, Noida-201301",Noida,1,28.5704287,77.3598121,EESL Sector 50 Market,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"Datta Digambar HPCL Service station, Yelahanka, Bangalore",Bangalore,1,13.152457,77.568071,EESL Yelahanka Bengaluru,0,free,Karnataka,0,AC Charger (Slow)
"Susma Swaraj Bhawan, MEA, New Delhi",Delhi,1,28.5958333,77.1805556, EESL Sushma Swaraj Bhawan,110011,free,Delhi,0,AC Charger (Slow)
"State Council For Child Welfare, CV Raman Pillai Rd, Near Kerala, Housing Board, Thycaud, Thiruvananthapuram, Kerala 695014",Ernakulam,1,9.977164,76.27777,ANERT-EESL Ernakulam Kerala,695014,free,Kerala,0,AC Charger (Slow)
"Sector 61 Opposite Shopprix Mall , Noida, Uttar Pradesh, 201305",Noida,1,28.5971047,77.3627113,EESL Shopprix Mall Noida,201305,free,Uttar Pradesh,0,AC Charger (Slow)
"EESL J-Block, Malviya Nagar, parking New Delhi",Delhi,1,28.531006,77.208693,EESL Malviya Nagar Delhi,110017,free,Delhi,0,AC Charger (Slow)
High Court Metro Station Chennai (CMRL),Chennai,1,13.088249,80.285359,EESL High court station,0,free,Tamil Nadu,0,AC Charger (Slow)
"Koyam Bedu Metro Station, Chennai (CMRL)",Chennai,1,13.074043,80.195354,EESL Koyambedu,0,free,Tamil Nadu,0,AC Charger (Slow)
"Anna Nagar East Metro Station, Chennai (CMRL)",Chennai,1,13.084713,80.219897,EESL Anna Nagar East Station,0,free,Tamil Nadu,0,AC Charger (Slow)
"Electronic City , Metro Station parking gate no.2, Noida - 201301",Noida,1,28.626475,77.375142,EESL Electronic City Metro Station,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"H Block market, Haldiram, Car parking , Sector - 63 , Noida - 201301",Noida,1,28.628915,77.375303,"EESL H-Block Market, Haldiram",201301,free,Uttar Pradesh,0,AC Charger (Slow)
Nandanam Metro station Chennai (CMRL),Chennai,1,13.031759,80.241923,Chennai Metro Nandanam Station,0,free,Tamil Nadu,0,AC Charger (Slow)
"Nagpur Airport Metro Station, Nagpur",Nagpur,1,21.0870127,79.0636227,EESL Nagpur,440005,free,Maharashtra,0,AC Charger (Slow)
"Noida Authority Parking, near metro station, sector-16, Noida-201301",Noida,1,28.578614,77.317483,EESL Sector 16 Near Metro Station Noida,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"Secretariat Office, Goa",Goa,1,15.5108,73.8368,EESL EDC Parking Goa,403521,free,Goa,0,AC Charger (Slow)
"Prithviraj Market, Rabindra Nagar, New Delhi- 110003",Delhi,1,28.600735,77.226277,EESL Prithviraj Market,110003,free,Delhi,0,AC Charger (Slow)
"Outside RWA Park, Jor Bagh Market, Jor Bagh Colony Road, New Delhi- 110003",Delhi,1,28.588117,77.217564,EESL Jor Bagh Market,110003,free,Delhi,0,AC Charger (Slow)
"Opposite Dory Pharmacy, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003",Delhi,1,28.580532,77.221048,EESL Khanna Market 1,110003,free,Delhi,0,AC Charger (Slow)
"Opposite Goel Opticals, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003",Delhi,1,28.584365,77.22054,EESL Khanna Market 2,110003,free,Delhi,0,AC Charger (Slow)
"Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhi- 110021",Delhi,1,28.601809,77.186432,EESL Malcha Marg Market,110021,free,Delhi,0,AC Charger (Slow)
"Outside Westend Vedi Tailors, Bock M, Middle Circle, Connaught Place, New Delhi- 110001",Delhi,1,28.632973,77.222937,EESL M Block,110001,free,Delhi,0,AC Charger (Slow)
"Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhi- 110001",Delhi,1,28.630256,77.225668,EESL Barakhamba,110001,free,Delhi,0,AC Charger (Slow)
"Opposite HDFC Bank, M- Block, , Connaught Place, New Delhi- 110001",Delhi,1,28.632973,77.222937,"EESL Block M, CP",110001,free,Delhi,0,AC Charger (Slow)
"Outside Oriental Bank, Radial Road No. 7, Block M, Connaught Place, New Delhi- 110001",Delhi,1,28.631584,77.2219,EESL Oriental Bank,110001,free,Delhi,0,AC Charger (Slow)
"NDMC Parking, Near Ferns n Petals, Near BPCL Petrol Pump, C Block RR5, Connaught Place, New Delhi- 110001",Delhi,1,28.634422,77.220852,EESL Ferns n Petals,110001,free,Delhi,0,AC Charger (Slow)
"NDMC Parking, Near Croma, D Block RR5, Opposite BPCL Petrol Pump, Connaught Place, New Delhi- 110001",Delhi,1,28.634388,77.221038,EESL Croma,110001,free,Delhi,0,AC Charger (Slow)
"Next to PVR Plaza, H Block RR4, Connaught Place, New Delhi- 110001",Delhi,1,28.63491,77.219522,EESL PVR Plaza,110001,free,Delhi,0,AC Charger (Slow)
"Near Woodland Showroom, Block B, Inner Circle, Connaught Place, New Delhi 110001",Delhi,1,28.634371,77.2195,EESL Block B,110001,free,Delhi,0,AC Charger (Slow)
"Opposite HP Petrol Pump, Block E, Middle Circle, Connaught Place, New Delhi- 110001",Delhi,1,28.631584,77.2219,EESL HP Petrol Pump,110001,free,Delhi,0,AC Charger (Slow)
"Outside Standard Chartered Bank, Sardar Patel Bhawan, Sansad Marg, New Delhi- 110001",Delhi,1,28.624419,77.213718,EESL Sansad Marg,110001,free,Delhi,0,AC Charger (Slow)
"Outside Iqbal Bros., G1, Block G, Connaught Place, New Delhi- 110001",Delhi,1,28.633841,77.217664,EESL Iqbal Bros.,110001,free,Delhi,0,AC Charger (Slow)
"Outside Bharat Sanchar Bhawan, Ashoke Road, Janpath, New Delhi- 110001",Delhi,1,28.621724,77.219286,EESL Bharat Sanchar Bhawan,110001,free,Delhi,0,AC Charger (Slow)
"FICCI, FICCI Chowk, Mandi House, Todermal Road Area, Mandi House, New Delhi110001",Delhi,1,28.626695,77.231943,EESL FICCI Chowk,110001,free,Delhi,0,AC Charger (Slow)
"Press Club of India, 1, Raisina Road, Windsor Place, New Delhi110001",Delhi,1,28.617517,77.213919,EESL Press Club,110001,free,Delhi,0,AC Charger (Slow)
"Near Snow White, Block D, Inner Circle, Connaught Place, New Delhi 110001",Delhi,1,28.63388,77.221078,EESL Snow White,110001,free,Delhi,0,AC Charger (Slow)
"Outside Van Heusen Showroom, Block C, Inner Circle, Connaught Place, New Delhi 110001",Delhi,1,28.634137,77.220382,EESL Van Heusen,110001,free,Delhi,0,AC Charger (Slow)
"Outside Devinder Collections, Shankar Market, Connaught Place, New Delhi- 110001",Delhi,1,28.633733,77.22353,EESL Shanker Market,110001,free,Delhi,0,AC Charger (Slow)
"Akashvani Bhawan, Sansad Marg, New Delhi 110001",Delhi,1,28.622656,77.210994,EESL Akashwani Bhawan,110001,free,Delhi,0,AC Charger (Slow)
"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",Delhi,1,28.6182604,77.2125699,EESL Chelmsford Club,110001,free,Delhi,0,AC Charger (Slow)
"Yashwant Place, Chanakyapuri, New Delhi- 110021",Delhi,1,28.585492,77.191634,EESL Yashwant Place,110021,free,Delhi,0,AC Charger (Slow)
"Opposite IVORY Mart, F Block, Inner Circle, Connaught Place, New Delhi 110001",Delhi,1,28.63388,77.221078,EESL IVORY Mart,110001,free,Delhi,0,AC Charger (Slow)
"Near Bikanervala, Yashwant Place, Chanakyapuri, New Delhi- 110021",Delhi,1,28.585298,77.191008,EESL Yashwant Place Market,110021,free,Delhi,0,AC Charger (Slow)
"Laxmi Bai Market, Safderjung Flyover, New Delhi",Delhi,1,28.577999,77.209521,EESL Laxmi Bai Market,110023,free,Delhi,0,AC Charger (Slow)
"Near ICICI Bank/Metro Gate No. 7 & 8, Block A, Inner Circle, Connaught Place, New Delhi 110001",Delhi,1,28.63242,77.218068,EESL Block A,110001,free,Delhi,0,AC Charger (Slow)
"Sarojini Nagar Market, Sarojini Nagar, New Delhi- 110023",Delhi,1,28.577259,77.19692,EESL Sarojini Nagar Market,110023,free,Delhi,0,AC Charger (Slow)
"Gopal Das Building, Barakhamba Road, Connaught Lane, Barakhamba, New Delhi110001",Delhi,1,28.631121,77.221654,EESL Gopal Das Building,110001,free,Delhi,0,AC Charger (Slow)
"Outside Jain Bhawan, 12 Shaheed Bhagat Singh Marg, Gole Market, New Delhi- 110001",Delhi,1,28.633614,77.207691,EESL Jain Bhawan,110001,free,Delhi,0,AC Charger (Slow)
"Side of Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003",Delhi,1,28.599477,77.215583,EESL Hotel Claridges,110003,free,Delhi,0,AC Charger (Slow)
"Indian Coffee House, Connaught Place, New Delhi",Delhi,1,28.6316372,77.2158857,EESL Indian Coffee House,110003,free,Delhi,0,AC Charger (Slow)
"Khan Market, Rabindra Nagar, New Delhi- 110003",Delhi,1,28.600324,77.226883,EESL Khan Market,110003,free,Delhi,0,AC Charger (Slow)
"Charak Palika Hospital, C7 Lane, Moti Bagh 1, Blok F, New Moti Bagh, New Delhi 110021",Delhi,1,28.585367,77.17755,EESL Charak Palika Hospital,110021,free,Delhi,0,AC Charger (Slow)
"Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003",Delhi,1,28.601201,77.215975,EESL Hotel Claridges 1,110003,free,Delhi,0,AC Charger (Slow)
"Janpath Guest House, Connaught Place, New Delhi",Delhi,1,28.628528,77.21946,EESL Janpath Guest House,110001,free,Delhi,0,AC Charger (Slow)
"Outside UCO Bank, Block H, RR3, Connaught Place, New Delhi",Delhi,1,28.63407,77.217683,EESL Block H,110001,free,Delhi,0,AC Charger (Slow)
"Opposite South Indian Bank, Block E, RR6, Middle Circle, Connaught Place, New Delhi- 110001",Delhi,1,28.63363,77.221949,EESL KTM,110001,free,Delhi,0,AC Charger (Slow)
"PSOI Club, Chanakyapuri, New Delhi 110021",Delhi,1,28.586638,77.193352,EESL PSOI Club,110021,free,Delhi,0,AC Charger (Slow)
"Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003",Delhi,1,28.590402,77.220192,EESL Lodhi Garden,110003,free,Delhi,0,AC Charger (Slow)
"Talkatora Stadium, President's Estate, New Delhi110004",Delhi,1,28.622004,77.194962,EESL Talkatora Stadium,110004,free,Delhi,0,AC Charger (Slow)
"DLF Building, Sansad Marg, Janpath, Connaught Place, New Delhi 110001.",Delhi,1,28.6285,77.217046,,110004,free,Delhi,0,AC Charger (Slow)
"Talkatora Garden, President's Estate, New Delhi110004",Delhi,1,28.6235305,77.1956795,EESL Talkatora Garden,110004,free,Delhi,0,AC Charger (Slow)
"NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023",Delhi,1,28.572793,77.208662,EESL Delhi Haat,110023,free,Delhi,0,AC Charger (Slow)
"Palika Maternity Hospital, Block 11, Lodhi Colony, Near Khanna Market, New Delhi 110003",Delhi,1,28.583518,77.222057,EESL Palika Maternity Hospital,110003,free,Delhi,0,AC Charger (Slow)
"Noida authority parking, near B-14, sector 2 Noida",Noida,1,28.5842756,77.3137535,EESL Noida Authority Parking Sector 2 Noida,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"In front of marie gold exports ltd, A block, sector-64, Noida ",Noida,1,28.36374688,77.27384312,EESL Marie Gold Exports Block A Sector 64 Noida,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"In front of Hexagon pvt ltd, sector-65, Noida ",Noida,1,28.6132,77.3814,EESL Hexagon Sector 65 Noida,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"The Mamlatdar Office, Goa",Goa,1,15.588,73.8139,EESL Mamlatdar Office Mapusa Goa,403406,free,Goa,0,AC Charger (Slow)
